fold,part,species,clips,groups,tapes
0,train,HumpbackWhale,263,9,9
0,train,KillerWhale,1665,42,42
0,train,SpermWhale,648,36,36
0,validation,HumpbackWhale,254,1,1
0,validation,KillerWhale,416,11,11
0,validation,SpermWhale,162,10,10
0,test,HumpbackWhale,86,4,4
0,test,KillerWhale,520,12,12
0,test,SpermWhale,203,12,12
1,train,HumpbackWhale,284,11,11
1,train,KillerWhale,1664,43,43
1,train,SpermWhale,649,36,36
1,validation,HumpbackWhale,65,2,2
1,validation,KillerWhale,418,9,9
1,validation,SpermWhale,162,10,10
1,test,HumpbackWhale,254,1,1
1,test,KillerWhale,519,13,13
1,test,SpermWhale,202,12,12
2,train,HumpbackWhale,451,10,10
2,train,KillerWhale,1663,43,43
2,train,SpermWhale,647,37,37
2,validation,HumpbackWhale,62,1,1
2,validation,KillerWhale,416,9,9
2,validation,SpermWhale,163,10,10
2,test,HumpbackWhale,90,3,3
2,test,KillerWhale,522,13,13
2,test,SpermWhale,203,11,11
3,train,HumpbackWhale,454,9,9
3,train,KillerWhale,1663,43,43
3,train,SpermWhale,650,38,38
3,validation,HumpbackWhale,62,1,1
3,validation,KillerWhale,418,9,9
3,validation,SpermWhale,161,9,9
3,test,HumpbackWhale,87,4,4
3,test,KillerWhale,520,13,13
3,test,SpermWhale,202,11,11
4,train,HumpbackWhale,454,8,8
4,train,KillerWhale,1664,42,42
4,train,SpermWhale,648,37,37
4,validation,HumpbackWhale,63,4,4
4,validation,KillerWhale,417,9,9
4,validation,SpermWhale,162,9,9
4,test,HumpbackWhale,86,2,2
4,test,KillerWhale,520,14,14
4,test,SpermWhale,203,12,12
